protein_name,short_name,gene_symbol,gene_ID,accession,pfam_ID,identifier,method,resolution,chain,sequence_length,positions
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1YES,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1YET,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2BSM,X-ray,2.05 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2BT0,X-ray,1.9 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2BUG,NMR,N/A,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2BYH,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2BYI,X-ray,1.6 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2BZ5,X-ray,1.9 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2C2L,X-ray,3.3 Å,A/B/C/D/E/F/G/H,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2CCS,X-ray,1.79 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2CCT,X-ray,2.3 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2CCU,X-ray,2.7 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2FWY,X-ray,2.1 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2FWZ,X-ray,2.1 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2H55,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2JJC,X-ray,1.95 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2K5B,NMR,N/A,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2QF6,X-ray,3.1 Å,A/B/C/D,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2QFO,X-ray,1.68 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2QG0,X-ray,1.85 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2QG2,X-ray,1.8 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2UWD,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2VCI,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2VCJ,X-ray,2.5 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2WI1,X-ray,2.3 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2WI2,X-ray,2.09 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2WI3,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2WI4,X-ray,2.4 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2WI5,X-ray,2.1 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2WI6,X-ray,2.18 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2WI7,X-ray,2.5 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XAB,X-ray,1.9 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XDK,X-ray,1.97 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XDL,X-ray,1.98 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XDS,X-ray,1.97 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XDU,X-ray,1.74 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XDX,X-ray,2.42 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XHR,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XHT,X-ray,2.27 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XHX,X-ray,2.801 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XJG,X-ray,2.25 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XJJ,X-ray,1.9 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XJX,X-ray,1.66 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2XK2,X-ray,1.95 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE2,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE3,X-ray,1.95 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE4,X-ray,2.3 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE5,X-ray,1.73 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE6,X-ray,2.56 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE7,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE8,X-ray,2.3 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YE9,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEA,X-ray,1.73 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEB,X-ray,2.4 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEC,X-ray,2.1 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YED,X-ray,2.1 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEE,X-ray,2.3 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEF,X-ray,1.55 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEG,X-ray,2.5 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEH,X-ray,2.1 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEI,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YEJ,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YI0,X-ray,1.6 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YI5,X-ray,2.5 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YI6,X-ray,1.8 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YI7,X-ray,1.4 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YJW,X-ray,1.61 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YJX,X-ray,1.83 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YK2,X-ray,1.74 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YK9,X-ray,1.32 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YKB,X-ray,1.93 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YKC,X-ray,1.67 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YKE,X-ray,1.43 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YKI,X-ray,1.67 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",2YKJ,X-ray,1.46 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3B24,X-ray,1.7 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3B25,X-ray,1.75 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3B26,X-ray,2.1 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3B27,X-ray,1.5 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3B28,X-ray,1.35 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3BM9,X-ray,1.6 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3BMY,X-ray,1.6 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3D0B,X-ray,1.74 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3EKO,X-ray,1.55 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3EKR,X-ray,2.0 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3FT5,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3FT8,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3HEK,X-ray,1.95 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3HHU,X-ray,1.59 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3HYY,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3HYZ,X-ray,2.3 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3HZ1,X-ray,2.3 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3HZ5,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3INW,X-ray,1.95 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3INX,X-ray,1.75 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3K97,X-ray,1.95 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3K98,X-ray,2.4 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3K99,X-ray,2.1 Å,A/B/C/D,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3MNR,X-ray,1.9 Å,P,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3O0I,X-ray,1.47 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3OW6,X-ray,1.8 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3OWB,X-ray,2.05 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3OWD,X-ray,1.63 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3Q6M,X-ray,3.0 Å,A/B/C,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3Q6N,X-ray,3.05 Å,A/B/C/D/E/F,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3QDD,X-ray,1.79 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3QTF,X-ray,1.5703 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3R4M,X-ray,1.7 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3R4N,X-ray,2.0 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3R4O,X-ray,2.65 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3R4P,X-ray,1.7 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3R91,X-ray,1.579 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3R92,X-ray,1.5801 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3RKZ,X-ray,1.5693 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3RLP,X-ray,1.7 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3RLQ,X-ray,1.9 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3RLR,X-ray,1.7 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3T0H,X-ray,1.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3T0Z,X-ray,2.192 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3T10,X-ray,1.24 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3T1K,X-ray,1.5 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3T2S,X-ray,1.501 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3TUH,X-ray,1.8 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3VHA,X-ray,1.39 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3VHC,X-ray,1.41 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3VHD,X-ray,1.52 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3WHA,X-ray,1.3 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",3WQ9,X-ray,1.8 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4AIF,X-ray,2.006 Å,A/B/D/E,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4AWO,X-ray,1.7 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4AWP,X-ray,1.82 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4AWQ,X-ray,1.6 Å,A/B,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4B7P,X-ray,1.7 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4BQG,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4BQJ,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4CGQ,X-ray,2.0 Å,A/Q,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4CGU,X-ray,2.11 Å,A/B/C,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4CGV,X-ray,2.54 Å,A/B/C/D/E/F,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4CGW,X-ray,3.001 Å,A/B/C/D,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4CWF,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4CWN,X-ray,1.8 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",4CWO,X-ray,2.31 Å,A,732,1-732
